,00000000,00011110,00100111,00111001,01001011,01010101,01101100,01110010,10001101,10010011,10101010,10110100,11000110,11011000,11100001,11111111
00000000,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8
00011110,4,0,4,4,4,4,4,4,4,4,4,4,4,4,8,4
00100111,4,4,0,4,4,4,4,4,4,4,4,4,4,8,4,4
00111001,4,4,4,0,4,4,4,4,4,4,4,4,8,4,4,4
01001011,4,4,4,4,0,4,4,4,4,4,4,8,4,4,4,4
01010101,4,4,4,4,4,0,4,4,4,4,8,4,4,4,4,4
01101100,4,4,4,4,4,4,0,4,4,8,4,4,4,4,4,4
01110010,4,4,4,4,4,4,4,0,8,4,4,4,4,4,4,4
10001101,4,4,4,4,4,4,4,8,0,4,4,4,4,4,4,4
10010011,4,4,4,4,4,4,8,4,4,0,4,4,4,4,4,4
10101010,4,4,4,4,4,8,4,4,4,4,0,4,4,4,4,4
10110100,4,4,4,4,8,4,4,4,4,4,4,0,4,4,4,4
11000110,4,4,4,8,4,4,4,4,4,4,4,4,0,4,4,4
11011000,4,4,8,4,4,4,4,4,4,4,4,4,4,0,4,4
11100001,4,8,4,4,4,4,4,4,4,4,4,4,4,4,0,4
11111111,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
